Name,Listing id,Price,Link
Used 2017 Lexus RX 350 AWD,573994142,"31,555",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573994142
Used 2016 Lexus GS 350 AWD,573994153,"30,955",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573994153
Used 2015 Lexus IS 250,574899318,"22,950",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574899318
Used 2013 Lexus GS 350,573890490,"10,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573890490
Used 2014 Lexus RX 350 FWD,573915613,"14,495",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573915613
Used 2011 Lexus ES 350,573557195,"12,395",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573557195
Used 2017 Lexus RX 350 FWD,571077078,"30,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571077078
Used 2015 Lexus IS 250,558865037,"20,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=558865037
Used 2019 Lexus RC 300 AWD,564388515,"38,396",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564388515
Used 2015 Lexus ES 350,574027898,"19,650",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574027898
Used 2017 Lexus RX 350 Premium,568811196,"34,490",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568811196
Used 2015 Lexus ES 350,573752125,"17,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573752125
Used 2015 Lexus GS 350,573986612,"24,987",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573986612
Used 2019 Lexus RX 350L AWD,564277953,"38,950",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564277953
Used 2016 Lexus RC 350,574107770,"28,155",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574107770
Used 2017 Lexus RX 350 FWD,570072080,"24,899",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570072080
Used 2014 Lexus RX 350 AWD,574710929,"16,495",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574710929
Used 2017 Lexus IS 300 AWD,574719929,"27,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574719929
Used 2016 Lexus RX 350 AWD,574860099,"28,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574860099
Used 2009 Lexus IS 250,574702338,"10,987",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574702338
Used 2017 Lexus RX 350 FWD,574738492,"33,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574738492
Used 2020 Lexus RX 350 FWD w/ Luxury Package,574817487,"49,888",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574817487
Used 2018 Lexus NX 300h AWD,574874838,"27,837",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574874838
Used 2017 Lexus GX 460 Premium,574600839,"34,983",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574600839
Used 2018 Lexus GS 350 F Sport,574701921,"38,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574701921
Used 2018 Lexus ES 350,574702285,"32,900",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574702285
