Name,Listing id,Price,Link,Year,Age
Used 2017 Lexus ES 350,562965865,23905,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=562965865,2017,4
Used 2013 Lexus LS 460,568600131,29112,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568600131,2013,8
Used 2009 Lexus RX 350 AWD,565044411,10995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565044411,2009,12
Used 2014 Lexus GX 460,563050958,28995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563050958,2014,7
Certified 2019 Lexus NX 300h AWD,571357096,35838,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571357096,2019,2
Used 2020 Lexus IS 350 AWD F Sport,565446671,47989,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565446671,2020,1
Used 2016 Lexus IS 200t,568879123,24988,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568879123,2016,5
Used 2017 Lexus LS 460 AWD,568991579,44900,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568991579,2017,4
Used 2017 Lexus RC 200t,567761534,31383,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567761534,2017,4
Used 2017 Lexus RX 350 FWD,556248076,34998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=556248076,2017,4
Used 2015 Lexus ES 350,567631250,18900,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567631250,2015,6
Used 2006 Lexus RX 330 AWD,570950773,6000,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570950773,2006,15
Used 2018 Lexus RX 350 AWD,570538539,39990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570538539,2018,3
Used 2017 Lexus ES 350,567719910,26930,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567719910,2017,4
Used 2002 Lexus LS 430,561112969,3998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=561112969,2002,19
